# Generated Thu, 05 Sep 2013 15:30:29 +0200 by ./mm10_transcript_positions_create.php
# Transcriptome alignment to the genome taken from /home/ifokkema/tmp/ele/RefseqFASTA_mapped-to-genome_maxpath_2.sam.
# Transcript	Reason_for_failure
NM_001099628.1	bad_alignment:D
NM_001099920.1	bad_alignment:D
NM_001104634.1	chimeric
NM_001109764.1	bad_alignment:DDD
NM_001109989.2	bad_alignment:DD
NM_001110504.1	bad_alignment:I
NM_001111016.1	bad_alignment:D
NM_001111102.2	bad_alignment:ID
NM_001112700.1	bad_alignment:D
NM_001112722.1	bad_alignment:D
NM_001113352.1	bad_alignment:DD
NM_001113353.1	bad_alignment:DD
NM_001113468.1	bad_alignment:I
NM_001113470.1	bad_alignment:DI
NM_001114400.2	bad_alignment:DDI
NM_001114665.1	bad_alignment:D
NM_001122668.1	weird_alignment:chr5_GL456354_random
NM_001123394.2	bad_alignment:D
NM_001126488.2	bad_alignment:D
NM_001127353.2	bad_alignment:D
NM_001130176.1	bad_alignment:D
NM_001130177.2	bad_alignment:D
NM_001130178.2	bad_alignment:I
NM_001130179.2	bad_alignment:I
NM_001130180.2	bad_alignment:D
NM_001130181.2	bad_alignment:D
NM_001134300.2	bad_alignment:D
NM_001135127.2	bad_alignment:D
NM_001136065.1	bad_alignment:D
NM_001136072.2	bad_alignment:D
NM_001142322.1	bad_alignment:D
NM_001142323.1	bad_alignment:D
NM_001142742.1	bad_alignment:D
NM_001142743.1	bad_alignment:I
NM_001142746.1	bad_alignment:D
NM_001142747.1	bad_alignment:D
NM_001142960.1	bad_alignment:DI
NM_001145403.1	bad_alignment:D
NM_001145826.1	bad_alignment:DI
NM_001145965.1	bad_alignment:D
NM_001146215.1	bad_alignment:D
NM_001159393.1	bad_alignment:D
NM_001159509.1	bad_alignment:IDD
NM_001159567.1	bad_alignment:D
NM_001159568.1	bad_alignment:D
NM_001160139.1	bad_alignment:IID
NM_001160410.1	bad_alignment:D
NM_001161769.1	bad_alignment:D
NM_001163024.1	bad_alignment:D
NM_001163154.1	bad_alignment:I
NM_001163155.1	bad_alignment:I
NM_001163415.1	chimeric
NM_001163614.1	bad_alignment:DDI
NM_001163730.2	bad_alignment:DII
NM_001163919.1	bad_alignment:DDI
NM_001164186.1	bad_alignment:DD
NM_001164376.1	bad_alignment:DII
NM_001164519.1	bad_alignment:DII
NM_001164682.1	bad_alignment:DD
NM_001166372.1	bad_alignment:DI
NM_001166399.2	bad_alignment:D
NM_001166556.1	bad_alignment:D
NM_001166557.1	bad_alignment:D
NM_001167777.1	bad_alignment:D
NM_001167976.1	bad_alignment:II
NM_001168602.1	bad_alignment:DDI
NM_001170745.1	bad_alignment:DI
NM_001170748.1	bad_alignment:I
NM_001174074.1	bad_alignment:D
NM_001174078.1	bad_alignment:DDII
NM_001174079.1	bad_alignment:DDII
NM_001174154.1	bad_alignment:D
NM_001177416.1	bad_alignment:ID
NM_001177417.1	bad_alignment:D
NM_001177523.1	bad_alignment:D
NM_001177659.1	bad_alignment:I
NM_001177667.1	bad_alignment:D
NM_001177668.1	bad_alignment:D
NM_001177673.1	bad_alignment:IDD
NM_001177767.1	bad_alignment:DIDIDD
NM_001190187.1	bad_alignment:DIII
NM_001190188.1	bad_alignment:DIII
NM_001190454.1	bad_alignment:D
NM_001190911.1	bad_alignment:II
NM_001190912.1	bad_alignment:I
NM_001190913.1	bad_alignment:II
NM_001190914.1	bad_alignment:DIID
NM_001198866.1	bad_alignment:ID
NM_001198987.2	bad_alignment:DI
NM_001198998.1	bad_alignment:D
NM_001199242.1	chimeric
NM_001199243.1	chimeric
NM_001199244.1	bad_alignment:II
NM_001199310.1	bad_alignment:D
NM_001199332.1	chimeric
NM_001199350.1	bad_alignment:D
NM_001200055.1	weird_alignment:chr5_JH584299_random
NM_001201389.1	bad_alignment:D
NM_001204201.1	bad_alignment:D
NM_001204203.1	bad_alignment:D
NM_001204915.1	bad_alignment:D
NM_001205367.1	bad_alignment:I
NM_001206849.1	bad_alignment:I
NM_001206926.1	bad_alignment:IDI
NM_001243117.1	bad_alignment:I
NM_001243118.1	bad_alignment:I
NM_001243119.1	bad_alignment:I
NM_001244952.1	bad_alignment:ID
NM_001252149.1	bad_alignment:D
NM_001252472.1	bad_alignment:D
NM_001252653.1	bad_alignment:I
NM_001253796.1	bad_alignment:I
NM_001253885.1	bad_alignment:DI
NM_001253887.1	bad_alignment:DII
NM_001256112.1	bad_alignment:I
NM_001256489.1	bad_alignment:DD
NM_001267808.1	bad_alignment:DD
NM_001270791.1	bad_alignment:D
NM_001270988.1	bad_alignment:D
NM_001271586.1	bad_alignment:I
NM_001271730.1	bad_alignment:D
NM_001271798.1	bad_alignment:D
NM_001271799.1	bad_alignment:D
NM_001277903.1	bad_alignment:I
NM_001277904.1	bad_alignment:I
NM_001277926.1	bad_alignment:DI
NM_001277954.1	bad_alignment:DDIDIDI
NM_001277955.1	bad_alignment:DDIDIDI
NM_001277982.1	bad_alignment:IID
NM_001277986.1	bad_alignment:IID
NM_001278161.1	bad_alignment:ID
NM_007474.2	bad_alignment:I
NM_007490.1	bad_alignment:I
NM_007600.3	bad_alignment:I
NM_007640.2	bad_alignment:I
NM_007648.4	bad_alignment:I
NM_007736.4	bad_alignment:I
NM_007737.2	bad_alignment:D
NM_007835.2	bad_alignment:ID
NM_007849.1	chimeric
NM_007899.2	bad_alignment:I
NM_007955.3	bad_alignment:DDDI
NM_007960.4	bad_alignment:I
NM_008247.2	bad_alignment:D
NM_008264.1	bad_alignment:IDI
NM_008324.1	bad_alignment:I
NM_008390.2	bad_alignment:D
NM_008406.3	bad_alignment:I
NM_008461.2	bad_alignment:D
NM_008551.1	bad_alignment:I
NM_008653.2	bad_alignment:II
NM_008710.3	bad_alignment:DD
NM_008734.3	bad_alignment:DIII
NM_008783.2	bad_alignment:D
NM_008798.2	bad_alignment:II
NM_008847.2	bad_alignment:D
NM_008848.1	chimeric
NM_008850.1	bad_alignment:I
NM_009016.1	bad_alignment:I
NM_009017.1	bad_alignment:I
NM_009018.1	bad_alignment:I
NM_009027.3	bad_alignment:IIDIIIIDDD
NM_009109.2	bad_alignment:D
NM_009115.3	bad_alignment:DI
NM_009173.1	bad_alignment:ID
NM_009251.1	chimeric
NM_009268.1	bad_alignment:II
NM_009293.1	no_alignment
NM_009389.2	bad_alignment:I
NM_009406.3	bad_alignment:D
NM_009444.1	bad_alignment:DIDII
NM_009485.1	weird_alignment:chr4_JH584292_random
NM_009488.2	weird_alignment:chr4_JH584292_random
NM_009492.2	weird_alignment:chr4_JH584292_random
NM_009686.2	bad_alignment:D
NM_009744.3	chimeric
NM_009819.2	bad_alignment:DDD
NM_009838.2	bad_alignment:IIII
NM_009845.3	bad_alignment:D
NM_009946.2	bad_alignment:DI
NM_010031.2	bad_alignment:II
NM_010039.1	bad_alignment:D
NM_010075.2	bad_alignment:III
NM_010078.3	bad_alignment:D
NM_010115.6	bad_alignment:I
NM_010381.2	chimeric
NM_010395.7	bad_alignment:IIIDIIIDI
NM_010581.3	bad_alignment:D
NM_010646.1	bad_alignment:D
NM_010707.2	bad_alignment:D
NM_010715.2	bad_alignment:D
NM_010825.3	bad_alignment:D
NM_010844.1	bad_alignment:D
NM_010846.1	bad_alignment:I
NM_010881.2	bad_alignment:D
NM_010974.1	bad_alignment:I
NM_011087.1	chimeric
NM_011088.1	bad_alignment:DI
NM_011091.1	bad_alignment:D
NM_011093.1	chimeric
NM_011094.1	bad_alignment:I
NM_011102.3	bad_alignment:I
NM_011151.2	bad_alignment:D
NM_011154.2	chimeric
NM_011180.3	bad_alignment:D
NM_011181.3	bad_alignment:D
NM_011211.3	bad_alignment:ID
NM_011348.2	bad_alignment:I
NM_011364.3	bad_alignment:D
NM_011390.2	bad_alignment:D
NM_011413.2	bad_alignment:I
NM_011417.3	bad_alignment:DDII
NM_011431.3	bad_alignment:D
NM_011459.4	bad_alignment:DDII
NM_011515.4	weird_alignment:chrX_GL456233_random
NM_011618.2	bad_alignment:I
NM_011619.3	bad_alignment:D
NM_011633.2	bad_alignment:DDD
NM_011856.3	bad_alignment:DDIIDID
NM_011864.3	bad_alignment:I
NM_011889.2	bad_alignment:DDII
NM_013489.3	bad_alignment:D
NM_013600.2	bad_alignment:D
NM_013606.1	bad_alignment:DDD
NM_013646.1	bad_alignment:I
NM_013669.2	bad_alignment:IID
NM_013694.4	bad_alignment:DID
NM_013755.2	bad_alignment:I
NM_013793.2	bad_alignment:DI
NM_013794.4	bad_alignment:IIDD
NM_015742.2	bad_alignment:D
NM_016879.2	bad_alignment:DIDI
NM_016928.2	bad_alignment:DDDD
NM_016969.2	bad_alignment:D
NM_017400.6	bad_alignment:DDIDIDI
NM_018756.2	bad_alignment:I
NM_019494.1	bad_alignment:I
NM_019654.2	bad_alignment:I
NM_019683.3	bad_alignment:D
NM_019695.2	bad_alignment:D
NM_019969.3	bad_alignment:D
NM_019994.4	bad_alignment:I
NM_020008.2	bad_alignment:ID
NM_020052.2	bad_alignment:D
NM_020333.2	bad_alignment:I
NM_021304.3	bad_alignment:D
NM_021427.2	bad_alignment:D
NM_021477.5	bad_alignment:IID
NM_021478.1	bad_alignment:ID
NM_021545.1	chimeric
NM_021714.4	bad_alignment:ID
NM_022554.3	bad_alignment:I
NM_023065.3	bad_alignment:D
NM_023115.3	bad_alignment:D
NM_023124.5	bad_alignment:D
NM_023566.3	bad_alignment:D
NM_023605.2	bad_alignment:I
NM_023872.3	bad_alignment:IID
NM_024223.2	bad_alignment:DI
NM_024291.3	bad_alignment:D
NM_025410.2	bad_alignment:D
NM_025534.2	bad_alignment:DDDD
NM_025576.2	bad_alignment:I
NM_025584.2	no_alignment
NM_025687.3	bad_alignment:I
NM_025827.3	bad_alignment:D
NM_025889.2	bad_alignment:D
NM_025988.2	bad_alignment:I
NM_026324.3	bad_alignment:II
NM_026483.2	bad_alignment:D
NM_026486.3	bad_alignment:I
NM_026601.3	bad_alignment:I
NM_026748.2	bad_alignment:I
NM_026939.1	bad_alignment:D
NM_027082.1	bad_alignment:D
NM_027121.3	bad_alignment:D
NM_027184.1	bad_alignment:D
NM_027211.2	bad_alignment:IDIDIID
NM_027249.2	bad_alignment:D
NM_027407.3	bad_alignment:ID
NM_027455.2	bad_alignment:DD
NM_027664.1	bad_alignment:D
NM_027700.1	bad_alignment:DI
NM_027860.2	bad_alignment:II
NM_027861.2	bad_alignment:I
NM_028166.3	bad_alignment:D
NM_028784.3	bad_alignment:I
NM_029330.2	bad_alignment:ID
NM_029349.1	bad_alignment:D
NM_029624.4	bad_alignment:DI
NM_029709.2	bad_alignment:I
NM_029759.4	bad_alignment:I
NM_029838.4	bad_alignment:ID
NM_030563.2	bad_alignment:D
NM_031156.3	chimeric
NM_031193.2	bad_alignment:D
NM_031367.1	bad_alignment:IDIIIDDI
NM_032006.3	bad_alignment:I
NM_033074.3	bad_alignment:D
NM_033217.3	bad_alignment:IDD
NM_033579.1	bad_alignment:DI
NM_033580.2	bad_alignment:DI
NM_033581.3	bad_alignment:DI
NM_033582.2	bad_alignment:DI
NM_033594.2	bad_alignment:DI
NM_033595.4	bad_alignment:DI
NM_033616.3	weird_alignment:chr1_GL456221_random
NM_053122.4	bad_alignment:DI
NM_053150.2	bad_alignment:IDI
NM_053151.1	bad_alignment:DDIII
NM_053152.2	bad_alignment:DDIID
NM_053153.2	bad_alignment:IID
NM_053154.2	bad_alignment:ID
NM_053244.5	bad_alignment:D
NM_053251.1	bad_alignment:DID
NM_053270.1	bad_alignment:DIDDID
NM_080457.3	bad_alignment:DD
NM_080856.4	bad_alignment:I
NM_133245.1	no_alignment
NM_133362.2	chimeric
NM_134195.2	bad_alignment:D
NM_138758.1	weird_alignment:chrX_GL456233_random
NM_139227.4	bad_alignment:DDI
NM_144867.2	bad_alignment:DDDIII
NM_144906.1	bad_alignment:DD
NM_145143.3	bad_alignment:DD
NM_145456.2	bad_alignment:D
NM_145468.1	bad_alignment:D
NM_145732.2	bad_alignment:DDD
NM_145942.4	bad_alignment:I
NM_145949.2	bad_alignment:D
NM_146012.2	bad_alignment:DI
NM_146412.2	bad_alignment:D
NM_146484.1	bad_alignment:I
NM_146872.1	bad_alignment:I
NM_146959.2	bad_alignment:DDD
NM_146993.1	bad_alignment:I
NM_147013.2	bad_alignment:I
NM_147218.2	bad_alignment:D
NM_147779.1	bad_alignment:IIDDI
NM_153098.3	bad_alignment:DI
NM_153099.1	bad_alignment:DDII
NM_153100.2	bad_alignment:I
NM_153154.2	bad_alignment:D
NM_153196.1	bad_alignment:D
NM_172421.5	bad_alignment:D
NM_172467.3	bad_alignment:ID
NM_172505.4	bad_alignment:D
NM_172590.3	bad_alignment:I
NM_172622.2	bad_alignment:D
NM_172709.3	bad_alignment:D
NM_172710.3	bad_alignment:D
NM_172799.4	bad_alignment:D
NM_172910.3	bad_alignment:D
NM_173187.3	bad_alignment:D
NM_173189.2	bad_alignment:DDDII
NM_173437.2	bad_alignment:D
NM_173783.3	bad_alignment:I
NM_173785.6	bad_alignment:D
NM_174853.2	bad_alignment:D
NM_174854.2	bad_alignment:D
NM_175188.4	bad_alignment:DI
NM_175252.4	bad_alignment:IDDDDIDD
NM_175270.4	bad_alignment:IIDD
NM_175272.3	bad_alignment:D
NM_175313.4	bad_alignment:IIDD
NM_175428.3	bad_alignment:I
NM_175462.3	bad_alignment:D
NM_175493.4	bad_alignment:IDD
NM_175513.3	bad_alignment:DI
NM_177010.3	chimeric
NM_177047.3	bad_alignment:I
NM_177135.4	bad_alignment:II
NM_177261.4	bad_alignment:D
NM_177312.4	bad_alignment:D
NM_177372.3	bad_alignment:DD
NM_177389.3	bad_alignment:IDD
NM_177548.2	bad_alignment:I
NM_177577.3	bad_alignment:DDI
NM_177612.3	bad_alignment:DII
NM_177615.3	bad_alignment:ID
NM_177913.4	weird_alignment:chr5_GL456354_random
NM_178606.5	bad_alignment:D
NM_178620.3	bad_alignment:D
NM_178668.3	bad_alignment:D
NM_178721.4	bad_alignment:I
NM_178893.4	bad_alignment:IIIDDD
NM_181729.2	chimeric
NM_183018.2	bad_alignment:DIDDID
NM_183354.2	bad_alignment:I
NM_183355.2	bad_alignment:D
NM_198602.2	bad_alignment:D
NM_198711.3	bad_alignment:ID
NM_201363.2	bad_alignment:IIDDD
NM_201519.2	bad_alignment:D
NM_205821.2	bad_alignment:D
NM_207149.2	bad_alignment:D
NM_207233.1	bad_alignment:D
NM_207535.1	bad_alignment:I
NM_207549.1	bad_alignment:D
NM_207664.2	bad_alignment:I
NM_207683.2	bad_alignment:DIDDD
NR_002845.1	no_alignment
NR_002875.2	bad_alignment:D
NR_002880.1	bad_alignment:D
NR_003278.3	bad_alignment:IDDIDI
NR_003518.2	weird_alignment:chrUn_JH584304
NR_003547.2	weird_alignment:chrX_GL456233_random
NR_004429.1	bad_alignment:I
NR_015516.2	chimeric
NR_021486.1	bad_alignment:I
NR_024198.2	bad_alignment:I
NR_027950.2	bad_alignment:D
NR_027975.2	bad_alignment:D
NR_029585.1	bad_alignment:D
NR_030470.1	bad_alignment:D
NR_033398.1	bad_alignment:D
NR_033506.1	weird_alignment:chr4_JH584293_random
NR_035408.1	bad_alignment:D
NR_038043.1	bad_alignment:D
NR_038061.1	bad_alignment:D
NR_038297.1	bad_alignment:D
NR_038298.1	bad_alignment:D
NR_040291.1	bad_alignment:DDIID
NR_040530.1	bad_alignment:D
NR_040536.1	bad_alignment:D
NR_040557.1	bad_alignment:I
NR_040745.1	bad_alignment:DD
NR_045299.1	bad_alignment:I
NR_045379.1	bad_alignment:DDI
NR_045668.1	bad_alignment:D
NR_045905.1	bad_alignment:D
NR_073559.1	bad_alignment:D
NR_075104.1	bad_alignment:D
NR_102721.1	chimeric
NR_102729.1	bad_alignment:IID
XM_001472033.3	weird_alignment:chr5_JH584299_random
XM_001472058.2	weird_alignment:chr1_GL456221_random
XM_001472151.3	weird_alignment:chr5_JH584299_random
XM_001472176.3	bad_alignment:I
XM_001472622.3	bad_alignment:DI
XM_001473258.3	bad_alignment:I
XM_001473415.1	bad_alignment:D
XM_001473465.2	bad_alignment:IIIDDID
XM_001473694.2	bad_alignment:DI
XM_001473695.4	bad_alignment:DD
XM_001473711.2	weird_alignment:chr5_JH584299_random
XM_001473726.2	weird_alignment:chr5_JH584299_random
XM_001473873.2	bad_alignment:DII
XM_001474160.2	bad_alignment:I
XM_001474200.3	bad_alignment:III
XM_001474564.3	bad_alignment:ID
XM_001475146.4	bad_alignment:I
XM_001475455.2	weird_alignment:chrY_JH584300_random
XM_001475533.2	bad_alignment:I
XM_001475610.2	chimeric
XM_001475637.3	weird_alignment:chr1_GL456211_random
XM_001475666.2	bad_alignment:IDID
XM_001476015.2	weird_alignment:chrY_JH584300_random
XM_001476397.2	weird_alignment:chr5_JH584299_random
XM_001476414.2	weird_alignment:chr5_JH584299_random
XM_001476529.3	bad_alignment:I
XM_001476568.3	bad_alignment:IDIDIII
XM_001476895.4	bad_alignment:I
XM_001477139.2	bad_alignment:D
XM_001477166.2	weird_alignment:chrY_JH584300_random
XM_001477192.2	bad_alignment:I
XM_001477688.2	weird_alignment:chrY_JH584300_random
XM_001477711.2	weird_alignment:chr1_GL456212_random
XM_001477746.2	bad_alignment:D
XM_001477780.2	bad_alignment:I
XM_001478071.2	bad_alignment:D
XM_001478485.2	bad_alignment:DDIDD
XM_001478694.4	bad_alignment:IIDD
XM_001478962.2	chimeric
XM_001479073.4	bad_alignment:D
XM_001479167.4	bad_alignment:D
XM_001479371.4	chimeric
XM_001479591.4	bad_alignment:IID
XM_001479706.3	bad_alignment:DDI
XM_001480825.1	bad_alignment:DD
XM_001481101.2	no_alignment
XM_001481236.2	chimeric
XM_001481303.4	bad_alignment:D
XM_001481310.2	bad_alignment:IIDDDDD
XM_001481325.2	bad_alignment:I
XM_001481329.4	bad_alignment:D
XM_001481332.2	bad_alignment:I
XM_001487796.4	bad_alignment:IDDIDI
XM_001487797.3	bad_alignment:D
XM_003084464.2	bad_alignment:D
XM_003084551.3	bad_alignment:D
XM_003084652.1	bad_alignment:D
XM_003084742.3	bad_alignment:DD
XM_003085056.2	bad_alignment:II
XM_003085120.2	bad_alignment:IIIDIIIDIDIDIDIDDDIDDDDIDIIDIIDI
XM_003085151.2	bad_alignment:I
XM_003085153.2	bad_alignment:D
XM_003085264.1	bad_alignment:D
XM_003085465.1	bad_alignment:DD
XM_003085466.1	bad_alignment:II
XM_003085506.1	bad_alignment:DDI
XM_003085534.2	weird_alignment:chr1_GL456211_random
XM_003085535.2	weird_alignment:chr1_GL456211_random
XM_003085556.1	bad_alignment:I
XM_003085647.1	weird_alignment:chr5_GL456354_random
XM_003085648.1	weird_alignment:chr5_GL456354_random
XM_003085693.1	bad_alignment:IIDIIIDDDID
XM_003085696.1	bad_alignment:D
XM_003085801.2	bad_alignment:I
XM_003085822.2	bad_alignment:DI
XM_003085853.1	chimeric
XM_003085861.1	bad_alignment:I
XM_003085875.1	bad_alignment:D
XM_003085914.1	bad_alignment:D
XM_003085917.2	bad_alignment:DDD
XM_003085945.1	bad_alignment:II
XM_003085949.1	bad_alignment:DI
XM_003085964.2	bad_alignment:II
XM_003086066.2	chimeric
XM_003086067.1	bad_alignment:D
XM_003086086.2	bad_alignment:D
XM_003086143.1	bad_alignment:I
XM_003086175.1	bad_alignment:D
XM_003086216.2	bad_alignment:I
XM_003086272.1	bad_alignment:I
XM_003086276.2	bad_alignment:D
XM_003086293.1	bad_alignment:I
XM_003086309.1	chimeric
XM_003086329.1	bad_alignment:I
XM_003086430.1	bad_alignment:DDI
XM_003086463.1	bad_alignment:I
XM_003086465.2	chimeric
XM_003086466.2	bad_alignment:IDDDDIIDIIDDDIIIDDDDDIDDDDDIDDDDIIIDDIIIDDIID
XM_003086474.2	bad_alignment:ID
XM_003086502.1	bad_alignment:IDDDDI
XM_003086503.1	bad_alignment:DDDD
XM_003086506.2	bad_alignment:DI
XM_003086515.1	bad_alignment:D
XM_003086531.2	bad_alignment:D
XM_003086587.1	bad_alignment:I
XM_003086590.3	bad_alignment:I
XM_003086644.1	bad_alignment:I
XM_003086659.1	bad_alignment:IID
XM_003086661.1	bad_alignment:I
XM_003086755.1	bad_alignment:IID
XM_003086771.1	bad_alignment:IDIID
XM_003086773.1	bad_alignment:IDIID
XM_003086775.1	bad_alignment:IDIID
XM_003086776.1	bad_alignment:IIDIID
XM_003086777.1	bad_alignment:IDIIID
XM_003086788.1	no_alignment
XM_003086790.1	bad_alignment:D
XM_003086802.2	no_alignment
XM_003086807.1	bad_alignment:D
XM_003086810.1	bad_alignment:DD
XM_003086812.3	bad_alignment:IDD
XM_003086828.2	bad_alignment:D
XM_003086832.1	bad_alignment:DD
XM_003086863.2	bad_alignment:D
XM_003086870.2	bad_alignment:D
XM_003086873.1	bad_alignment:ID
XM_003086907.1	bad_alignment:D
XM_003086909.1	bad_alignment:IID
XM_003086951.2	bad_alignment:I
XM_003086957.1	chimeric
XM_003688734.1	bad_alignment:I
XM_003688745.2	bad_alignment:ID
XM_003688750.1	bad_alignment:I
XM_003688754.2	chimeric
XM_003688755.1	bad_alignment:II
XM_003688760.2	chimeric
XM_003688763.2	chimeric
XM_003688766.2	chimeric
XM_003688779.2	bad_alignment:DDIIIIDDD
XM_003688801.1	bad_alignment:DD
XM_003688812.1	bad_alignment:DI
XM_003688822.2	chimeric
XM_003688905.1	bad_alignment:I
XM_003688921.1	bad_alignment:I
XM_003688927.2	bad_alignment:I
XM_003688949.2	bad_alignment:I
XM_003688975.1	bad_alignment:D
XM_003689004.2	bad_alignment:D
XM_003689079.1	weird_alignment:chrY_JH584300_random
XM_003689142.2	weird_alignment:chr5_JH584296_random
XM_003689144.1	weird_alignment:chr5_JH584297_random
XM_003689146.1	weird_alignment:chr5_JH584297_random
XM_003689147.1	weird_alignment:chr5_JH584297_random
XM_003689148.1	weird_alignment:chr5_JH584297_random
XM_003689149.1	weird_alignment:chr5_JH584297_random
XM_003689150.1	weird_alignment:chr5_JH584299_random
XM_003689151.1	weird_alignment:chr5_JH584299_random
XM_003689156.1	weird_alignment:chr5_JH584299_random
XM_003689160.1	weird_alignment:chrY_JH584300_random
XM_003689171.2	bad_alignment:I
XM_003689176.2	bad_alignment:IDDIIIDD
XM_003689183.1	bad_alignment:DDDIIIDI
XM_003689210.1	bad_alignment:I
XM_003689214.2	chimeric
XM_003689215.1	bad_alignment:II
XM_003689220.1	chimeric
XM_003689223.1	chimeric
XM_003689226.2	chimeric
XM_003689233.2	weird_alignment:chr1_GL456210_random
XM_003689247.2	bad_alignment:D
XM_003689251.1	bad_alignment:D
XM_003689268.1	bad_alignment:DII
XM_003689273.2	chimeric
XM_003689291.1	bad_alignment:I
XM_003689292.1	chimeric
XM_003689309.1	bad_alignment:ID
XM_003689311.2	bad_alignment:I
XM_003689330.1	chimeric
XM_003689343.1	bad_alignment:I
XM_003689344.1	bad_alignment:D
XM_003689356.1	bad_alignment:DD
XM_003689363.1	weird_alignment:chr4_JH584292_random
XM_003689364.1	weird_alignment:chr4_JH584292_random
XM_003689365.1	weird_alignment:chr4_JH584292_random
XM_003689366.1	weird_alignment:chr4_JH584292_random
XM_003689367.1	weird_alignment:chr4_JH584292_random
XM_003689368.1	bad_alignment:I
XM_003689381.1	bad_alignment:D
XM_003689383.1	bad_alignment:D
XM_003689386.2	bad_alignment:III
XM_003689388.1	bad_alignment:D
XM_003689417.2	bad_alignment:D
XM_003689431.1	bad_alignment:I
XM_003689445.1	no_alignment
XM_003689459.1	bad_alignment:D
XM_003689460.2	bad_alignment:DD
XM_003689471.1	bad_alignment:I
XM_003689472.2	bad_alignment:ID
XM_003689476.1	weird_alignment:chrUn_GL456372
XM_003689479.2	chimeric
XM_003689480.1	chimeric
XM_003689489.1	bad_alignment:D
XM_003689498.1	bad_alignment:DIIIDI
XM_003945326.1	bad_alignment:D
XM_003945330.1	bad_alignment:D
XM_003945374.1	bad_alignment:DD
XM_003945410.1	bad_alignment:I
XM_003945411.1	bad_alignment:IIDIII
XM_003945412.1	bad_alignment:DDIIIDDIDIIDIDI
XM_003945430.1	bad_alignment:IIDDIDD
XM_003945433.1	bad_alignment:DIDIDDIDIID
XM_003945474.1	bad_alignment:DII
XM_003945476.1	bad_alignment:DI
XM_003945478.1	bad_alignment:I
XM_003945484.1	bad_alignment:I
XM_003945487.1	bad_alignment:I
XM_003945497.1	bad_alignment:I
XM_003945498.1	bad_alignment:ID
XM_003945499.1	bad_alignment:I
XM_003945514.1	bad_alignment:I
XM_003945530.1	bad_alignment:I
XM_003945536.1	bad_alignment:I
XM_003945554.1	bad_alignment:I
XM_003945580.1	bad_alignment:II
